SlotName,Timings(comma seperated),,,
EZ,MON=8:00-8:50,TUE=13:00-13:50,THU=11:00-11:50,FRI=10:00-10:50
BV,MON=9:00-9:50,TUE=8:00-8:50,WED=13:00-13:50,FRI=11:00-11:50
UN,MON=10:00-10:50,TUE=9:00-9:50,WED=8:00-8:50,FRI=13:00-13:50
JD,MON=11:00-11:50,TUE=10:00-10:50,WED=9:00-9:50,THU=13:00-13:50
SX,TUE=11:00-11:50,WED=10:00-10:50,THU=8:00-8:50,FRI=16:50-17:40
GY,TUE=16:50-17:40,WED=11:00-11:50,THU=9:00-9:50,FRI=8:00-8:50
YG,MON=13:00-13:50,WED=16:50-17:40,THU=10:00-10:50,FRI=9:00-9:50
GI,MON=14:00-15:15,TUE=15:25-16:40,THU=16:50-17:40,
HY,MON=14:00-15:15,THU=16:50-17:40,
ZN,MON=16:50-17:40,WED=14:00-15:15,THU=15:25-16:40,,
MT,WED=15:25-16:40,FRI=14:00-15:15,,
ZA,THU=14:00-15:15,FRI=15:25-16:40,
LN,MON=15:25-16:40,TUE=14:00-15:15,,
WV,MON=15:25-16:40,
KV,MON=14:00-16:40,,,
JX,TUE=14:00-16:40,,,
EU,WED=14:00-16:40,,,
CX,THU=14:00-16:40,,,
JH,FRI=14:00-16:40,,,
MV,MON=8:00-8:50,TUE=13:00-13:50,THU=11:00-11:50,FRI=10:00-10:50
RZ,MON=9:00-9:50,TUE=8:00-8:50,WED=13:00-13:50,FRI=11:00-11:50
UR,MON=10:00-10:50,TUE=9:00-9:50,WED=8:00-8:50,FRI=13:00-13:50
GJ,MON=11:00-11:50,TUE=10:00-10:50,WED=9:00-9:50,THU=13:00-13:50
JY,TUE=11:00-11:50,WED=10:00-10:50,THU=8:00-8:50,MON=13:00-13:50
CO,WED=11:00-11:50,THU=9:00-9:50,FRI=8:00-8:50,
WW,THU=10:00-10:50,FRI=9:00-9:50,,
QP,MON=14:00-16:50,,,
IN,TUE=14:00-16:50,,,
HU,WED=14:00-16:50,,,
CW,THU=14:00-16:50,,,
HB,FRI=14:00-16:50,,,
WG,MON=9:00-11:50,,,
GG,TUE=9:00-11:50,,,
FG,WED=9:00-11:50,,,
DC,THU=9:00-11:50,,,
ML,FRI=9:00-11:50,,,
RF,
YC,
OC,
LJ,
ON,
YK,SUN=10:01-10:50,
